TimeStamp,GET,SET
2025-01-12 18:43:40,99691.17,99736.32
2025-01-12 18:43:43,99750.47,99663.34
2025-01-12 18:43:46,99674.50,99733.79
2025-01-12 18:43:49,99670.19,99744.19
2025-01-12 18:43:52,99484.93,99524.89
2025-01-12 18:43:55,99678.82,99690.92
2025-01-12 18:43:58,99679.20,99696.25
2025-01-12 18:44:01,99553.60,99358.64
2025-01-12 18:44:04,99598.68,99471.56
2025-01-12 18:44:07,99559.81,99742.44
2025-01-12 18:44:10,99545.23,99205.85
2025-01-12 18:44:13,99556.85,99578.13
2025-01-12 18:44:16,99741.24,99520.82
2025-01-12 18:44:19,99663.96,99642.68
2025-01-12 18:44:22,99689.99,99590.15
2025-01-12 18:44:25,99655.83,99743.84
2025-01-12 18:44:28,99651.95,99690.84
2025-01-12 18:44:31,99417.79,99426.56
2025-01-12 18:44:34,99558.01,99534.23
2025-01-12 18:44:37,99661.15,99698.21
2025-01-12 18:44:40,99695.11,99758.63
2025-01-12 18:44:43,99417.29,99403.05
2025-01-12 18:44:46,99457.36,99559.58
2025-01-12 18:44:49,99706.28,99685.14
2025-01-12 18:44:52,99618.38,99630.68
2025-01-12 18:44:55,99664.32,99625.52
2025-01-12 18:44:58,99678.48,99638.86
2025-01-12 18:45:01,99650.11,99630.75
2025-01-12 18:45:04,99662.24,99422.56
2025-01-12 18:45:07,99637.11,99610.65
2025-01-12 18:45:10,99448.45,99491.40
2025-01-12 18:45:13,99563.57,99761.78
2025-01-12 18:45:16,99489.02,99621.24
2025-01-12 18:45:19,99637.71,99623.34
2025-01-12 18:45:22,99256.48,99635.51
2025-01-12 18:45:25,99570.70,99652.75
2025-01-12 18:45:28,99681.08,99652.70
2025-01-12 18:45:31,99661.23,99587.80
2025-01-12 18:45:34,99546.59,99454.95
2025-01-12 18:45:37,99316.75,99621.31
2025-01-12 18:45:40,99585.30,99365.83
2025-01-12 18:45:43,99660.28,99585.80
2025-01-12 18:45:46,99747.74,99229.40
2025-01-12 18:45:49,99763.33,99621.02
2025-01-12 18:45:52,99540.72,99701.81
2025-01-12 18:45:55,99729.23,99435.61
2025-01-12 18:45:58,99113.17,99597.62
2025-01-12 18:46:01,99703.15,99427.47
2025-01-12 18:46:04,99718.87,99583.60
2025-01-12 18:46:07,99610.96,99520.66
2025-01-12 18:46:10,99737.89,99554.73
2025-01-12 18:46:13,99656.70,99757.73
2025-01-12 18:46:16,99757.43,99653.81
2025-01-12 18:46:19,99705.90,99725.08
2025-01-12 18:46:22,99461.67,99484.60
2025-01-12 18:46:25,99425.92,99650.24
2025-01-12 18:46:28,99635.14,99715.07
2025-01-12 18:46:31,99746.11,99706.16
2025-01-12 18:46:34,99513.65,99766.56
2025-01-12 18:46:37,99605.88,99521.06
2025-01-12 18:46:40,99621.58,99538.42
2025-01-12 18:46:43,99386.49,99672.00
2025-01-12 18:46:46,99679.90,99664.28
2025-01-12 18:46:49,99745.22,99628.83
2025-01-12 18:46:52,99569.22,99727.98
2025-01-12 18:46:55,99710.43,99751.83
2025-01-12 18:46:59,99421.35,99377.12
2025-01-12 18:47:02,99682.56,99609.95
2025-01-12 18:47:05,99612.47,99399.46
2025-01-12 18:47:08,99574.41,99437.22
2025-01-12 18:47:11,99605.08,99619.69
2025-01-12 18:47:14,99446.59,99709.46
2025-01-12 18:47:17,99531.95,99632.29
2025-01-12 18:47:20,99740.67,99647.35
2025-01-12 18:47:23,99673.11,99368.44
2025-01-12 18:47:26,99685.35,99734.14
2025-01-12 18:47:29,99707.25,99532.15
2025-01-12 18:47:32,99305.96,99765.98
2025-01-12 18:47:35,99524.84,99655.90
2025-01-12 18:47:38,99723.28,99760.36
2025-01-12 18:47:41,99729.37,99704.95
2025-01-12 18:47:44,99535.75,99550.09
2025-01-12 18:47:47,99408.23,99628.63
2025-01-12 18:47:50,99361.55,99635.41
2025-01-12 18:47:53,98912.27,99438.01
2025-01-12 18:47:56,99570.84,99676.66
2025-01-12 18:47:59,99595.25,99578.57
2025-01-12 18:48:02,99581.52,99681.30
2025-01-12 18:48:05,99522.58,99601.60
2025-01-12 18:48:08,99664.59,99734.16
2025-01-12 18:48:11,99597.93,99712.22
2025-01-12 18:48:14,99658.17,99689.76
2025-01-12 18:48:17,99435.64,99601.66
2025-01-12 18:48:20,99669.53,99657.63
2025-01-12 18:48:23,99711.35,99604.70
2025-01-12 18:48:26,99674.69,99584.29
2025-01-12 18:48:29,99650.25,99505.63
2025-01-12 18:48:32,99679.52,99459.61
2025-01-12 18:48:35,99418.04,99586.28
2025-01-12 18:48:38,99623.52,99178.21
2025-01-12 18:48:41,99276.30,99699.53
2025-01-12 18:48:44,99437.29,99595.11
2025-01-12 18:48:47,99661.66,99696.16
2025-01-12 18:48:50,99639.02,99740.14
2025-01-12 18:48:53,99717.17,99741.04
2025-01-12 18:48:56,99509.14,99731.29
2025-01-12 18:48:59,99591.19,99538.62
2025-01-12 18:49:02,99621.68,99619.35
2025-01-12 18:49:05,99760.71,99722.07
2025-01-12 18:49:08,99696.03,99751.26
2025-01-12 18:49:11,99486.08,99445.34
2025-01-12 18:49:14,99651.99,99518.12
2025-01-12 18:49:17,99508.51,99539.66
2025-01-12 18:49:20,99598.96,99685.03
2025-01-12 18:49:23,99668.19,99720.32
2025-01-12 18:49:26,99712.38,99711.31
2025-01-12 18:49:29,99635.66,99675.55
2025-01-12 18:49:32,98451.25,99567.61
2025-01-12 18:49:35,99408.48,99672.17
2025-01-12 18:49:38,99644.01,99574.95
2025-01-12 18:49:41,99588.29,99538.24
2025-01-12 18:49:44,99558.87,99752.40
2025-01-12 18:49:47,99695.18,99540.62
2025-01-12 18:49:50,99493.66,99737.63
2025-01-12 18:49:53,99708.18,99618.81
2025-01-12 18:49:56,99683.67,99710.09
2025-01-12 18:49:59,99441.59,99461.33
2025-01-12 18:50:02,99430.32,99619.80
2025-01-12 18:50:05,99707.46,99655.87
2025-01-12 18:50:08,99556.21,99543.40
2025-01-12 18:50:11,99739.40,99727.03
2025-01-12 18:50:14,99574.93,99741.72
2025-01-12 18:50:17,99538.01,99672.01
2025-01-12 18:50:20,99552.41,99555.89
2025-01-12 18:50:23,99223.64,99328.00
2025-01-12 18:50:26,99741.48,99648.90
2025-01-12 18:50:29,99449.71,99684.72
2025-01-12 18:50:32,99691.55,99641.86
2025-01-12 18:50:35,99672.40,99732.36
2025-01-12 18:50:38,99696.65,99704.67
2025-01-12 18:50:41,99670.34,99407.31
2025-01-12 18:50:44,99586.91,99631.53
2025-01-12 18:50:47,99678.30,99440.74
2025-01-12 18:50:50,99608.39,99401.70
2025-01-12 18:50:53,99725.81,99709.89
2025-01-12 18:50:56,99586.33,99678.34
2025-01-12 18:50:59,99636.21,99623.10
2025-01-12 18:51:02,99391.22,99583.26
2025-01-12 18:51:05,99552.94,99632.98
2025-01-12 18:51:08,99655.07,99638.65
2025-01-12 18:51:11,99547.03,99675.28
2025-01-12 18:51:14,99489.36,99606.85
2025-01-12 18:51:17,99660.78,99162.80
2025-01-12 18:51:20,99706.52,99639.37
2025-01-12 18:51:23,99710.62,99624.34
2025-01-12 18:51:26,99580.70,99614.70
2025-01-12 18:51:29,99728.25,99504.74
2025-01-12 18:51:32,99709.35,99395.99
2025-01-12 18:51:35,99329.82,99517.13
2025-01-12 18:51:39,99714.34,99642.44
2025-01-12 18:51:42,99308.96,99532.48
2025-01-12 18:51:45,99481.52,99710.44
2025-01-12 18:51:48,99565.23,98703.48
2025-01-12 18:51:51,99614.36,99573.19
2025-01-12 18:51:54,99656.88,99544.32
2025-01-12 18:51:57,99416.12,99636.51
2025-01-12 18:52:00,99463.50,99682.20
2025-01-12 18:52:03,99704.67,99569.85
2025-01-12 18:52:06,99338.11,99716.97
2025-01-12 18:52:09,99671.47,99554.59
2025-01-12 18:52:12,99748.59,99641.05
2025-01-12 18:52:15,99765.27,97708.43
2025-01-12 18:52:18,99474.34,99675.98
2025-01-12 18:52:21,99680.32,99511.00
2025-01-12 18:52:24,99690.88,99723.75
2025-01-12 18:52:27,99751.79,99751.18
2025-01-12 18:52:30,99721.87,99542.36
2025-01-12 18:52:33,99680.60,99623.56
2025-01-12 18:52:36,99680.62,99623.95
2025-01-12 18:52:39,99589.01,99710.97
2025-01-12 18:52:42,99531.49,99295.23
2025-01-12 18:52:45,99502.20,99603.26
2025-01-12 18:52:48,99271.52,99729.84
2025-01-12 18:52:51,99633.45,99543.70
2025-01-12 18:52:54,99509.94,99636.44
2025-01-12 18:52:57,99138.24,99677.21
2025-01-12 18:53:00,99740.92,99654.56
2025-01-12 18:53:03,99548.53,99540.37
2025-01-12 18:53:06,99575.94,99717.36
2025-01-12 18:53:09,99706.53,99580.13
2025-01-12 18:53:12,99653.28,99704.20
2025-01-12 18:53:15,99742.34,98388.32
2025-01-12 18:53:18,98526.42,99553.85
2025-01-12 18:53:21,99091.73,99484.03
2025-01-12 18:53:24,99441.22,99489.12
2025-01-12 18:53:27,99634.08,99634.05
2025-01-12 18:53:30,99742.76,99589.16
2025-01-12 18:53:33,99684.47,99390.55
2025-01-12 18:53:36,99545.36,99487.06
2025-01-12 18:53:39,99419.36,99321.80
2025-01-12 18:53:42,99743.48,99603.57
2025-01-12 18:53:45,99731.37,99424.90
2025-01-12 18:53:48,99664.30,99685.11
2025-01-12 18:53:51,99615.21,98351.28
2025-01-12 18:53:54,99363.08,99700.75
2025-01-12 18:53:57,99719.08,99699.25
2025-01-12 18:54:00,99641.59,99500.72
2025-01-12 18:54:03,99730.29,99260.34
2025-01-12 18:54:06,99367.18,99313.91
2025-01-12 18:54:09,99608.18,99390.98
2025-01-12 18:54:12,99672.04,99548.87
2025-01-12 18:54:15,99488.44,99655.39
2025-01-12 18:54:18,99632.79,99667.19
2025-01-12 18:54:21,99703.35,99458.50
2025-01-12 18:54:24,99486.79,97401.01
2025-01-12 18:54:27,99691.42,99740.20
2025-01-12 18:54:30,99538.39,99481.03
2025-01-12 18:54:33,99453.52,99742.76
2025-01-12 18:54:36,99701.77,99448.13
2025-01-12 18:54:39,99735.28,99598.38
2025-01-12 18:54:42,99706.15,99582.90
2025-01-12 18:54:45,99609.43,99681.23
2025-01-12 18:54:48,99362.37,99694.13
2025-01-12 18:54:51,98114.67,99684.19
2025-01-12 18:54:54,99720.29,99365.42
2025-01-12 18:54:57,99715.25,99627.42
2025-01-12 18:55:00,99757.07,99475.84
2025-01-12 18:55:03,99587.81,99747.82
2025-01-12 18:55:06,99634.08,99502.72
2025-01-12 18:55:09,99739.06,99630.47
2025-01-12 18:55:12,99706.29,99679.20
2025-01-12 18:55:15,99381.02,99589.53
2025-01-12 18:55:18,99497.36,99270.50
2025-01-12 18:55:21,99753.23,99716.60
2025-01-12 18:55:24,99720.20,99588.39
2025-01-12 18:55:27,99748.70,99635.94
2025-01-12 18:55:30,99658.10,99660.71
2025-01-12 18:55:33,99631.92,99765.68
2025-01-12 18:55:37,99612.22,98501.69
2025-01-12 18:55:40,99665.24,99667.21
2025-01-12 18:55:43,99593.83,99727.45
2025-01-12 18:55:46,99673.94,99600.15
2025-01-12 18:55:49,99652.22,99656.06
2025-01-12 18:55:52,99556.32,99505.47
2025-01-12 18:55:55,99686.65,99669.70
2025-01-12 18:55:58,99694.03,99718.98
2025-01-12 18:56:01,99583.09,99752.86
2025-01-12 18:56:04,99634.21,99337.44
2025-01-12 18:56:07,99742.14,99621.11
2025-01-12 18:56:10,99666.79,99714.90
2025-01-12 18:56:13,99621.23,99769.09
2025-01-12 18:56:16,99442.06,99698.91
2025-01-12 18:56:19,99549.91,99366.87
2025-01-12 18:56:22,99561.15,99629.93
2025-01-12 18:56:25,99354.88,99417.29
2025-01-12 18:56:28,99706.58,99597.24
2025-01-12 18:56:31,99356.68,99203.09
2025-01-12 18:56:34,99510.03,99570.15
2025-01-12 18:56:37,99690.92,99243.22
2025-01-12 18:56:40,99567.55,99755.17
2025-01-12 18:56:43,99381.46,99526.26
2025-01-12 18:56:46,99718.82,99352.39
2025-01-12 18:56:49,99484.78,99577.54
2025-01-12 18:56:52,99712.80,99467.29
2025-01-12 18:56:55,99621.92,99632.80
2025-01-12 18:56:58,99690.55,99752.45
2025-01-12 18:57:01,99474.93,99631.81
2025-01-12 18:57:04,99508.85,99668.54
2025-01-12 18:57:07,99523.30,99741.14
2025-01-12 18:57:10,99402.44,99541.86
2025-01-12 18:57:13,99756.52,99451.71
2025-01-12 18:57:16,99704.04,99539.80
2025-01-12 18:57:19,99769.65,99467.27
2025-01-12 18:57:22,99680.35,99521.81
2025-01-12 18:57:25,99341.35,99561.32
2025-01-12 18:57:28,99676.10,99524.90
2025-01-12 18:57:31,99500.06,99534.22
2025-01-12 18:57:34,99588.99,99666.08
2025-01-12 18:57:37,98597.34,99655.89
2025-01-12 18:57:40,99373.91,99499.75
2025-01-12 18:57:43,99675.17,99700.14
2025-01-12 18:57:46,99597.23,99708.99
2025-01-12 18:57:49,99715.05,99692.71
2025-01-12 18:57:52,99663.95,99323.19
2025-01-12 18:57:55,99747.86,99663.47
2025-01-12 18:57:58,99696.47,99351.37
2025-01-12 18:58:01,99472.87,99702.19
2025-01-12 18:58:04,99705.82,99469.65
2025-01-12 18:58:07,99578.95,99732.47
2025-01-12 18:58:10,99340.26,99540.22
2025-01-12 18:58:13,99620.30,98578.59
2025-01-12 18:58:16,99745.66,99372.74
2025-01-12 18:58:19,99693.92,99651.43
2025-01-12 18:58:22,99736.21,99729.38
2025-01-12 18:58:25,99734.82,99731.04
2025-01-12 18:58:28,99424.70,99676.16
2025-01-12 18:58:31,99705.70,99555.13
2025-01-12 18:58:34,99721.59,99727.00
2025-01-12 18:58:37,99444.95,99448.13
2025-01-12 18:58:40,99634.03,99705.79
2025-01-12 18:58:43,99715.35,99681.16
2025-01-12 18:58:46,99665.19,95274.41
2025-01-12 18:58:49,99704.86,99588.30
2025-01-12 18:58:52,99738.20,99385.96
2025-01-12 18:58:55,99671.39,99736.66
2025-01-12 18:58:58,99688.91,99641.46
2025-01-12 18:59:01,99553.91,99717.56
2025-01-12 18:59:04,99607.02,99569.45
2025-01-12 18:59:07,99708.14,99666.44
2025-01-12 18:59:10,99249.67,99545.56
2025-01-12 18:59:13,99610.14,99537.38
2025-01-12 18:59:16,99730.92,99722.67
2025-01-12 18:59:19,99629.03,99491.75
2025-01-12 18:59:22,99690.60,99539.03
2025-01-12 18:59:25,99626.70,99715.17
2025-01-12 18:59:28,99496.83,99577.18
2025-01-12 18:59:31,99659.15,99522.35
2025-01-12 18:59:34,99711.45,99656.36
2025-01-12 18:59:37,99307.44,99737.43
2025-01-12 18:59:40,99624.39,99722.78
2025-01-12 18:59:44,99688.22,99486.87
2025-01-12 18:59:47,99759.53,99668.67
2025-01-12 18:59:50,99536.21,99702.14
2025-01-12 18:59:53,99545.53,99202.96
2025-01-12 18:59:56,99652.80,99698.21
2025-01-12 18:59:59,99435.88,99626.13
2025-01-12 19:00:02,99465.94,99369.46
2025-01-12 19:00:05,99632.81,99638.36
2025-01-12 19:00:08,99515.84,99648.76
2025-01-12 19:00:11,99465.01,99727.92
2025-01-12 19:00:14,99420.17,99607.23
2025-01-12 19:00:17,99682.46,99630.18
2025-01-12 19:00:20,99710.97,99733.96
2025-01-12 19:00:23,99661.21,99455.55
2025-01-12 19:00:26,99759.89,99558.36
2025-01-12 19:00:29,99672.80,99241.63
2025-01-12 19:00:32,99397.97,99530.39
2025-01-12 19:00:35,99709.11,99725.89
2025-01-12 19:00:38,99545.60,99617.65
2025-01-12 19:00:41,98868.68,99342.42
2025-01-12 19:00:44,99741.10,99683.59
2025-01-12 19:00:47,99742.19,99334.99
2025-01-12 19:00:50,99700.79,99623.78
2025-01-12 19:00:53,99636.25,99709.12
2025-01-12 19:00:56,99645.46,99738.79
2025-01-12 19:00:59,99401.35,99362.52
2025-01-12 19:01:02,99620.49,99591.33
2025-01-12 19:01:05,99667.60,99603.42
2025-01-12 19:01:08,99531.70,99614.63
2025-01-12 19:01:11,99760.32,99722.42
2025-01-12 19:01:14,99597.76,99598.11
2025-01-12 19:01:17,99638.67,99385.14
2025-01-12 19:01:20,99668.52,99620.07
2025-01-12 19:01:23,99494.68,99763.24
2025-01-12 19:01:26,99581.04,99474.16
2025-01-12 19:01:29,99552.11,98326.47
2025-01-12 19:01:32,99652.03,99539.97
2025-01-12 19:01:35,99300.97,98952.08
2025-01-12 19:01:38,99428.47,99281.39
2025-01-12 19:01:41,99681.99,99770.31
2025-01-12 19:01:44,99494.39,99514.81
2025-01-12 19:01:47,99603.54,99707.38
